Drugbank_id,Uniprot_id,Score
DB06616,P35968,0.99993116
DB00619,P35968,0.9999107
DB12267,P35968,0.999117
DB11986,P35968,0.9987885
DB01254,P35968,0.9985703
DB15685,P35968,0.9976331
DB11828,P35968,0.9955088
DB12062,P35968,0.99293315
DB15102,P35968,0.9923419
DB11763,P35968,0.9914848
DB00187,P35968,5.0415943e-05
DB01231,P35968,4.8684968e-05
DB14631,P35968,4.593951e-05
DB00383,P35968,3.150609e-05
DB00896,P35968,2.9555371e-05
DB00333,P35968,2.6563965e-05
DB00219,P35968,1.5421701e-05
DB00283,P35968,1.5252468e-05
DB04630,P35968,1.3331996e-05
DB04652,P35968,4.771392e-06
