Drugbank_id,Uniprot_id,Score
DB11652,P00533,0.99590814
DB11973,P00533,0.9939865
DB11800,P00533,0.99317867
DB08875,P00533,0.9911598
DB09078,P00533,0.989792
DB01254,P00533,0.9896008
DB15822,P00533,0.9865411
DB12307,P00533,0.98524845
DB15149,P00533,0.98463714
DB06616,P00533,0.9844786
DB11886,P00533,0.98332775
DB11986,P00533,0.97709686
DB08896,P00533,0.976431
DB06589,P00533,0.97364104
DB00398,P00533,0.97304374
DB14840,P00533,0.97100365
DB08865,P00533,0.9688284
DB04849,P00533,0.96708745
DB00619,P00533,0.9667985
DB15685,P00533,0.9650466
DB12141,P00533,0.9648752
DB12874,P00533,0.9629362
DB08901,P00533,0.96215343
DB12062,P00533,0.9617182
DB12147,P00533,0.9615739
DB15102,P00533,0.9612363
DB16826,P00533,0.9577128
DB11679,P00533,0.95365125
DB11697,P00533,0.9514047
DB11763,P00533,0.9476477
DB05137,P00533,0.020132946
DB00202,P00533,0.01876527
DB00424,P00533,0.018754166
DB08960,P00533,0.0183815
DB00283,P00533,0.017256545
DB00572,P00533,0.01692738
DB01081,P00533,0.015889768
DB11181,P00533,0.01574722
DB01231,P00533,0.015291947
DB00987,P00533,0.014768006
DB00411,P00533,0.014600633
DB00209,P00533,0.014103858
DB01019,P00533,0.013483835
DB09076,P00533,0.012673177
DB00810,P00533,0.011653818
DB00387,P00533,0.01153606
DB00376,P00533,0.010526318
DB00505,P00533,0.009959614
DB01409,P00533,0.00941882
DB00942,P00533,0.0092158355
DB00383,P00533,0.008326317
DB00332,P00533,0.0077383043
DB00725,P00533,0.007036888
DB00771,P00533,0.0064039184
DB00462,P00533,0.0054522823
DB04843,P00533,0.005415184
DB00219,P00533,0.003895022
DB09300,P00533,0.0032646689
DB00986,P00533,0.002566562
DB06787,P00533,0.0022723475
