Drugbank_id,Uniprot_id,Score
DB00398,P35968,0.9996244
DB01268,P35968,0.99897367
DB04849,P35968,0.984381
DB04879,P35968,0.9926137
DB06436,P35968,0.95076764
DB06589,P35968,0.9966711
DB06595,P35968,0.99532783
DB06626,P35968,0.99930495
DB08875,P35968,0.9985439
DB08896,P35968,0.9998913
DB08901,P35968,0.9999542
DB09078,P35968,0.99996555
DB09079,P35968,0.9988607
DB11679,P35968,0.9982206
DB11800,P35968,0.99956876
DB12010,P35968,0.9999954
DB12147,P35968,0.99935454
DB12307,P35968,0.9989378
DB14840,P35968,0.9995427
DB15822,P35968,0.99991333
