Drugbank_id,Uniprot_id,Score
DB12010,Q00534,0.99995184
DB06195,Q00534,0.9903712
DB11718,Q00534,0.9719588
DB01017,Q00534,0.968042
DB01254,Q00534,0.9500865
DB04216,Q00534,0.9497528
DB02587,Q00534,0.9257674
DB12695,Q00534,0.8963455
DB06616,Q00534,0.8918502
DB14989,Q00534,0.88669044
DB00264,Q00534,6.2037266e-06
DB00312,Q00534,5.8146793e-06
DB01483,Q00534,5.6444937e-06
DB01295,Q00534,4.731487e-06
DB00418,Q00534,4.34596e-06
DB00940,Q00534,4.325883e-06
DB00187,Q00534,3.0914307e-06
DB12163,Q00534,2.747392e-06
DB00612,Q00534,2.4641402e-06
DB01182,Q00534,6.9398203e-07
