Drugbank_id,Uniprot_id,Score
DB06616,P07949,0.9986207
DB11800,P07949,0.97824
DB00619,P07949,0.975361
DB11973,P07949,0.97027767
DB11828,P07949,0.96487176
DB11718,P07949,0.95864916
DB01254,P07949,0.95785296
DB12267,P07949,0.95399904
DB09079,P07949,0.9499677
DB11986,P07949,0.94887495
DB14754,P07949,1.2131622e-05
DB00938,P07949,1.1333707e-05
DB00221,P07949,1.0811886e-05
DB01580,P07949,8.997826e-06
DB00287,P07949,8.758701e-06
DB00341,P07949,7.797597e-06
DB00979,P07949,5.402411e-06
DB06282,P07949,5.2887626e-06
DB00860,P07949,5.1615243e-06
DB00383,P07949,2.4361066e-06
