,Uniprot_id,DrugBank_id,Affinity,Mean_5_poses
0,P00533,DB05137,-9.563,-9.1708
0,P00533,DB00202,-5.523,-5.4394
0,P00533,DB00424,-7.403,-7.236399999999999
0,P00533,DB08960,-4.743,-4.6074
0,P00533,DB00283,-7.463,-7.4482
0,P00533,DB00572,-7.563,-7.354000000000001
0,P00533,DB01081,-8.858,-8.6494
0,P00533,DB11181,-7.411,-7.2074
0,P00533,DB01231,-8.267,-8.0884
0,P00533,DB00987,-6.043,-5.744199999999999
0,P00533,DB00411,-4.453,-4.3168
0,P00533,DB00209,-8.819,-8.6852
0,P00533,DB01019,-4.605,-4.476
0,P00533,DB09076,-8.596,-8.544999999999998
0,P00533,DB00810,-8.055,-7.8873999999999995
0,P00533,DB00387,-7.53,-7.411199999999999
0,P00533,DB00376,-7.678,-7.5512
0,P00533,DB00505,-6.652,-6.5902
0,P00533,DB01409,-7.264,-7.1096
0,P00533,DB00942,-7.818,-7.6944
0,P00533,DB00383,-8.29,-7.889
0,P00533,DB00332,-6.913,-6.8618
0,P00533,DB00725,-1.049,-0.9254999999999999
0,P00533,DB00771,-7.57,-7.4096
0,P00533,DB00462,-1.049,-0.9254999999999999
0,P00533,DB04843,-7.88,-7.6392
0,P00533,DB00219,-6.677,-6.596199999999999
0,P00533,DB09300,-7.744,-7.606199999999999
0,P00533,DB00986,-7.445,-7.1888000000000005
0,P00533,DB06787,-7.618,-7.3208
