,Uniprot_id,DrugBank_id,Affinity
0,P37231,DB00132,-5.645
0,P37231,DB00159,-5.96
0,P37231,DB00197,-8.102
0,P37231,DB00244,-5.495
0,P37231,DB00313,-4.464
0,P37231,DB00328,-7.535
0,P37231,DB00412,-6.505
0,P37231,DB00573,-6.944
0,P37231,DB00731,-7.093
0,P37231,DB00795,-7.208
0,P37231,DB00845,-8.188
0,P37231,DB00912,-7.558
0,P37231,DB00966,-7.853
0,P37231,DB01014,-6.692
0,P37231,DB01050,-6.6
0,P37231,DB01067,-7.733
0,P37231,DB01118,-7.12
0,P37231,DB01132,-7.149
0,P37231,DB01252,-7.373
0,P37231,DB01393,-7.304
0,P37231,DB02266,-7.248
0,P37231,DB02709,-6.666
0,P37231,DB03600,-5.269
0,P37231,DB03756,-6.207
0,P37231,DB06510,-7.28
0,P37231,DB09061,-6.555
0,P37231,DB09198,-7.351
0,P37231,DB09201,-6.599
0,P37231,DB09213,-6.23
0,P37231,DB11672,-6.685
0,P37231,DB12007,-7.126
0,P37231,DB13873,-6.953
0,P37231,DB14011,-6.561
0,P37231,DB14635,-6.242
