,Uniprot_id,DrugBank_id,Affinity,Mean_5_poses
0,P53350,DB04216,-7.757,-7.598400000000001
0,P53350,DB01017,-8.339,-7.9887999999999995
0,P53350,DB01254,-8.326,-8.130999999999998
0,P53350,DB12695,-5.798,-5.7488
0,P53350,DB03496,-8.386,-8.178799999999999
0,P53350,DB02587,-8.077,-7.796199999999999
0,P53350,DB11752,-7.824,-7.669
0,P53350,DB11718,-8.778,-8.605
0,P53350,DB15442,-10.07,-9.5644
0,P53350,DB06195,-8.429,-7.674200000000001
0,P53350,DB01645,-7.621,-7.512600000000001
0,P53350,DB08846,-8.317,-7.9002
0,P53350,DB06616,-7.463,-7.286999999999999
0,P53350,DB00945,-6.186,-6.0398
0,P53350,DB01593,-1.247,-1.173
0,P53350,DB14989,-9.751,-9.4612
0,P53350,DB09096,-7.501,-7.4475999999999996
0,P53350,DB09093,-9.323,-8.634200000000002
0,P53350,DB06589,-9.174,-8.9434
0,P53350,DB04209,-8.604,-8.5612
0,P53350,DB08399,-7.754,-7.630800000000001
0,P53350,DB11730,-8.997,-8.724
0,P53350,DB02709,-7.677,-7.5680000000000005
0,P53350,DB12001,-9.111,-8.879
0,P53350,DB03758,-6.248,-6.021800000000001
0,P53350,DB11763,-9.212,-8.5214
0,P53350,DB04272,-5.301,-5.2244
0,P53350,DB08912,-9.411,-9.1428
0,P53350,DB09073,-9.321,-9.1634
0,P53350,DB00618,-8.774,-8.2756
