From src:'2'	To src:'22'
DB08983	65777
DB12473	29566
DB07645	5192
DB04855	208898
DB07721	11207678
DB04967	10180
DB11713	91936863
DB16267	118955396
DB03385	13195
DB05501	11256587
DB07064	6857690
DB06331	388136
DB14723	46188928
DB01059	4539
DB01059	6919051
DB04529	447876
DB04529	71768141
DB03455	447066
DB05796	3038505
DB13938	57398987
DB13139	123600
DB12785	51037069
DB14761	121304016
DB02666	448088
DB02268	446367
DB05422	9892540
DB16845	118036971
DB07763	9547935
DB11554	6441094
DB03099	4369374
DB01495	10188
DB12459	6456014
DB01774	16500
DB01747	76957149
DB02135	657027
DB03789	141893795
DB03789	444800
DB08994	29088
DB08538	44629554
DB02414	449094
DB15777	119871
DB00674	9651
DB12095	25181577
DB00647	10100
DB13291	71132
DB03546	131704252
DB08642	46937168
DB11941	10160238
DB01073	657237
DB15780	60778
DB01634	17754117
DB03232	5280832
DB12389	25052630
DB13583	4059
DB11207	1549789
DB15637	56649297
DB12962	9811611
DB11888	9847629
DB00734	5073
DB02383	53359
DB06964	135446210
DB03589	10132
DB08405	46937148
DB00809	5593
DB01574	73415752
DB01547	6916258
DB13475	6870646
DB11079	69594019
DB11079	25213
DB03746	17753950
DB02028	5288599
DB09409	134717
DB09409	16211621
DB13084	14190
DB08738	25155578
DB13040	46213929
DB13206	2292
DB13608	3001386
DB15580	37907
DB02453	19362114
DB16027	21158511
DB00998	77992
DB00534	25210
DB00534	101603127
DB00534	6110
DB00534	2716
DB04325	1001
DB07224	23647358
DB00199	12560
DB08678	9547998
DB14875	24946280
DB13783	1981
DB07521	131704305
DB13093	24767976
DB00231	5391
DB13818	10100751
DB02394	5289076
DB14523	1061
DB09338	101318324
DB03133	49867153
DB11513	10831
DB12585	10457387
DB01719	449625
DB05596	54677674
DB13794	10610
DB07402	46937068
DB04729	72396
DB15241	71484494
DB07563	46937081
DB11428	68602
DB15907	6433489
DB02479	446276
DB00619	5291
DB08210	449003
DB03414	448267
DB06849	25113124
DB12291	2746
DB02546	5311
DB11499	91663250
DB13095	57519700
DB04798	5289517
DB04798	5289518
DB13459	5282176
DB14525	27668
DB03135	446273
DB02789	8955
DB01824	49866494
DB09256	5386
DB13389	21751
DB13962	154911
DB13962	43835045
DB11374	73341
DB04814	6436657
DB06082	11234794
DB05377	6635
DB07565	656580
DB15827	34625
DB14859	53373585
DB02232	289
DB05450	91439
DB06792	168924
DB02385	135460965
DB08403	194777
DB00128	5960
DB00128	139060126
DB00128	44367445
DB00929	5282381
DB15396	71475839
DB13473	90478371
DB04604	97297
DB06937	5287464
DB08562	445650
DB03268	5287443
DB04088	10305301
DB03666	65374
DB00567	6560168
DB00567	27447
DB07871	448729
DB02099	5289326
DB02455	49866988
DB12938	84098
DB16731	30131
DB12594	10161381
DB04323	17753793
DB12139	11513676
DB13785	3169
DB12818	5493470
DB03394	79718
DB15357	60809
DB02133	12085802
DB02133	16667503
DB04879	151194
DB08762	5492457
DB01440	10413
DB12093	72301
DB00035	5311065
DB01354	10518
DB16890	72326
DB07176	6793
DB07369	17749728
DB06817	54671008
DB01075	3100
DB03479	445720
DB16100	15344754
DB00767	2342
DB01484	62065
DB07982	11270500
DB15664	66524
DB18409	68108988
DB13585	26001
DB01667	135403646
DB12794	8677
DB02746	18183610
DB02746	1017
DB03028	233240
DB12475	13099
DB08985	3306
DB15416	118374999
DB12084	11691484
DB07643	24978486
DB11160	7077
DB04853	9576912
DB07037	6540273
DB02589	449633
DB03383	444746
DB09188	76961482
DB04598	114947
DB06886	6323185
DB14641	102232
DB17197	24856041
DB17851	154572844
DB14725	5284527
DB06651	145994602
DB06651	16138701
DB07110	3699841
DB03453	5288250
DB12783	2327
DB09297	45110509
DB12040	9815689
DB16843	71554322
DB12608	25221720
DB07765	23629645
DB13346	2466
DB12206	44623946
DB01493	13765
DB15296	11579379
DB05541	9837243
DB04261	277
DB04261	18358786
DB03081	177837
DB00592	4837
DB07605	9547923
DB16961	72429
DB18050	7047
DB09121	6104
DB09121	6916934
DB17263	44562555
DB03976	15391
DB07478	7075
DB08597	11524144
DB03182	135815451
DB03368	1836
DB06767	12820921
DB06767	25517
DB06767	21924987
DB06767	518533
DB01213	3406
DB04223	135409365
DB04223	135453301
DB04223	440005
DB04223	155903772
DB04223	28360916
DB09022	2318
DB00817	287180
DB11957	21071390
DB03506	5287565
DB00607	8982
DB11865	11154925
DB00886	656629
DB12391	11284169
DB13732	64953
DB15919	148197
DB07029	10157080
DB01707	3045269
DB13997	124081896
DB01751	65552
