0,1
44259,PIP5K1A
5494449,SIK
5329102,S6K1
6450551,AURKB
44150621,NEK5
16725726,HIPK1
5328940,MAP4K4
10138260,AURKC
10427712,BRK
11984591,PAK3
153999,HIPK3
44259,MAST1
10461815,AURKB
123631,FRK
3081361,ACVRL1
25243800,ACVR1
11717001,TNIK
4908365,DAPK3
10138260,JAK2(JH1domain-catalytic)
11427553,DDR1
11364421,CAMK2A
11234052,TIE1
5287969,JNK1
16038120,MARK1
44150621,PDGFRB
4908365,AAK1
51004351,CAMK2D
11427553,GAK
16007391,BTK
153999,TBK1
51004351,RIOK3
5329102,MYO3A
126565,PKN2
44259,NEK5
176155,DDR1
5287969,ERK5
16007391,TIE2
126565,DDR1
11427553,MAP4K5
126565,PIK4CB
17755052,DYRK1B
11667893,YSK4
10138260,CAMKK1
5287969,MAK
126565,TNK1
126565,MARK1
176167,PRKCD
11626560,ANKK1
44259,YANK2
42642645,HIPK4
5329102,SRC
5329102,TBK1
25243800,ALK
5329102,AURKB
5329102,TTK
16038120,ICK
208908,PIK4CB
126565,LTK
11409972,TNNI3K
3062316,MYLK2
16722836,ARK5
44259,TNK1
126565,FER
123631,MEK5
9926791,DCAMKL1
44259,MLK1
3025986,PRKD3
11364421,SYK
44150621,NEK4
3025986,CDK5
126565,EPHB2
11409972,SIK
25127112,NEK3
9809715,EPHA2
4908365,PIM3
11409972,ACVR2B
5494449,NDR2
10138260,IRAK1
51004351,MELK
156414,RIOK1
9926054,DCAMKL3
51004351,LCK
447077,FGFR3
11656518,EPHA8
51004351,PRKD3
5328940,PKNB(Mtuberculosis)
16038120,CASK
10461815,CSNK1D
5494449,MST2
9809715,PRKD3
42642645,TXK
11409972,CIT
16725726,PKN1
44259,BLK
5287969,EPHA5
5287969,PYK2
3081361,FLT3
25243800,PLK3
11485656,TIE1
11409972,CDK9
153999,PHKG1
25243800,PHKG2
11626560,DCAMKL1
4908365,MAP4K2
176870,FLT1
11626560,IRAK4
5291,CLK4
44259,SRPK2
5287969,ICK
44259,IKK-beta
11409972,ROCK1
3025986,PCTK1
5328940,TYK2(JH1domain-catalytic)
16722836,BMPR2
3062316,SBK1
5328940,CAMK1D
176155,YANK2
9933475,EPHA1
5494449,ABL2
44259,ACVR1
42642645,HIPK3
16038120,PAK1
216239,MEK5
44259,PLK4
208908,EGFR
9915743,TIE1
11338033,CDKL2
25127112,BMPR2
4908365,JAK1(JH1domain-catalytic)
5329102,DCAMKL2
16038120,JAK1(JH1domain-catalytic)
216239,HIPK4
16722836,FAK
11984591,LCK
25243800,MYO3B
5329102,FES
126565,SRPK2
5287969,CDK2
126565,RSK4(KinDom.1-N-terminal)
16722836,LCK
9933475,FLT4
10074640,FRK
10138260,CTK
16038120,PRKCD
3062316,KIT
126565,TIE2
3062316,EPHB6
11338033,TAOK1
216239,JNK2
11485656,HIPK3
10113978,STK16
176870,VEGFR2
9915743,FER
17755052,PIK3CG
5287969,MRCKB
5494449,TRKC
9933475,EPHB4
6450551,FLT4
25243800,CSNK1G3
216239,KIT
11984591,MEK3
42642645,EPHB3
10461815,TSSK1B
5291,PIP5K2C
5329102,CLK1
5287969,EGFR
156414,EPHA8
11409972,ABL1
17755052,CLK1
5329102,RSK4(KinDom.1-N-terminal)
5328940,TAOK3
16007391,MUSK
10427712,LATS2
11984591,ULK3
10138260,SIK
9884685,PIK3CA
16038120,SIK2
126565,CAMK2A
11314340,PRKG2
16722836,IRAK4
11338033,TLK1
9926054,MYLK4
6450551,PRKR
126565,TSSK1B
153999,PCTK1
16038120,CAMK2B
4908365,EPHA2
123631,BLK
447077,BRSK1
11656518,EPHA1
5328940,HIPK2
16038120,RSK1(KinDom.1-N-terminal)
11427553,HUNK
5494449,TEC
10461815,DCAMKL1
42642645,MINK
44259,KIT
11984591,ROS1
44259,FGFR1
11984591,NEK3
9926791,LRRK2
24180719,SLK
11656518,TAOK1
5494449,ACVR1
11667893,PDGFRB
176870,GCN2(KinDom2S808G)
5328940,DCAMKL3
25243800,PAK7
42642645,EPHA3
11656518,ZAK
16038120,PIP5K1A
5287969,TNNI3K
16038120,DYRK1B
3081361,PHKG2
11984591,TYRO3
126565,MINK
5494449,RIOK2
3038522,FLT1
4908365,LOK
123631,STK36
176870,SBK1
176155,MEK2
4908365,RIOK3
9884685,MTOR
126565,RIPK2
126565,PKAC-beta
11409972,INSR
5328940,GRK7
9915743,MLK3
156414,TEC
5494449,SIK2
156422,EPHA4
10461815,CAMK1
16038120,BRSK1
51004351,FGFR2
51004351,MAP3K3
10461815,CAMKK1
11314340,CIT
10461815,CSF1R
11984591,ULK2
10138260,MAP4K2
11427553,AURKC
11338033,CDK2
51004351,PKAC-alpha
10184653,IRAK1
11409972,ULK1
9809715,JAK1(JH1domain-catalytic)
25243800,CDK11
42642645,FES
16722836,CDK7
16038120,AURKB
4908365,BIKE
11314340,PIM2
216239,TAK1
11427553,DLK
5287969,ALK
11409972,CDKL3
447077,NLK
44259,JAK1(JH1domain-catalytic)
176155,CSNK1E
9809715,IRAK1
11984591,FLT1
16038120,PIK4CB
16722836,AAK1
24180719,ACVR2B
10113978,LCK
16722836,CAMKK1
10461815,FAK
10074640,PIM1
17755052,HIPK1
16038120,EPHA6
151194,KIT
42642645,PDGFRA
11409972,DYRK2
11427553,CSNK1D
11984591,CAMK2A
5329102,RIPK5
3062316,EPHA6
51004351,FLT3
11667893,BRAF
153999,PIP5K1C
25127112,CSNK2A1
5328940,HCK
16007391,TAK1
176167,PFTAIRE2
3062316,SIK
9809715,MLK2
9809715,MYLK
42642645,TNIK
11485656,EPHA5
11364421,CLK1
11667893,GCN2(KinDom2S808G)
11314340,LRRK2
6450551,MEK2
11485656,CDC2L1
44150621,TYK2(JH1domain-catalytic)
9809715,PCTK2
16722836,ERK5
44259,PHKG2
25127112,MEK1
6918454,PDGFRB
11409972,EPHA2
126565,DRAK1
10138260,MEK3
11626560,SBK1
44259,EPHA7
3081361,HUNK
4908365,FGFR2
10427712,TAOK1
16725726,PRKG2
4908365,LATS1
24180719,VEGFR2
447077,SRMS
126565,AMPK-alpha1
9915743,GCN2(KinDom2S808G)
3081361,FGFR3
16038120,SRPK1
16038120,HUNK
11409972,MELK
10113978,DDR1
51004351,FGFR3
11427553,CHEK1
42642645,YES
5287969,CSF1R
11712649,EPHA3
24779724,DYRK1B
11626560,EPHA1
16722836,DCAMKL1
11234052,YSK4
16038120,RIPK4
176870,TNNI3K
11984591,FLT3
44259,RSK3(KinDom.1-N-terminal)
11984591,TXK
11485656,DMPK2
156414,ITK
9933475,FGFR2
44259,SgK110
16038120,LCK
11427553,ERN1
156414,RIPK2
16722836,MARK3
16007391,LCK
16722836,ABL1
5494449,CDKL3
9926791,ULK3
44150621,GRK4
10427712,AAK1
44259,AKT3
11338033,CLK2
126565,CSF1R
9809715,SLK
10138260,TRKC
25243800,JAK2(JH1domain-catalytic)
9915743,CDK7
156414,AXL
11626560,MST1
11314340,PAK6
6450551,DLK
42642645,CDK8
5494449,TGFBR1
123631,DAPK3
126565,CAMK1D
16722836,MELK
5329102,TRKB
11409972,TAOK2
11667893,TNNI3K
447077,TYRO3
5494449,MARK2
16007391,TNIK
10138260,MUSK
11626560,CASK
9915743,MEK2
25243800,ACVR2B
10113978,BRK
11712649,FGFR2
9884685,RAF1
44259,MAP3K3
5287969,EPHA3
216239,AXL
51004351,TRKA
44259,CSNK2A1
3062316,ERBB2
3081361,SIK2
176870,MEK5
156414,TIE1
24180719,RIPK1
25243800,CSK
44150621,YES
9933475,ERN1
4908365,ANKK1
44150621,CSF1R
126565,YANK3
176155,TGFBR2
25243800,FGFR3
9809715,FER
11656518,TNIK
44259,ROCK1
447077,BTK
5329102,PFCDPK1(Pfalciparum)
5329102,SIK2
11626560,MET
11364421,PLK3
5329102,IGF1R
25127112,CAMK2D
11427553,MAP4K2
9809715,TRKA
10138260,MAST1
42642645,VEGFR2
25127112,DAPK3
153999,PIP5K2B
447077,TNIK
10138260,CSF1R
