Drugbank_id,Uniprot_id,Score
DB02587,P53350,0.963429
DB04216,P53350,0.9578134
DB01017,P53350,0.93792325
DB11718,P53350,0.9277276
DB01645,P53350,0.8620095
DB12695,P53350,0.85906905
DB00945,P53350,0.8556384
DB08912,P53350,0.8368305
DB01254,P53350,0.8351445
DB14989,P53350,0.8326043
DB11752,P53350,0.8195217
DB03496,P53350,0.7912723
DB11638,P53350,0.77955097
DB06616,P53350,0.75157094
DB08846,P53350,0.7482573
DB12001,P53350,0.7303645
DB09096,P53350,0.6981778
DB01169,P53350,0.69653744
DB06589,P53350,0.6919088
DB02709,P53350,0.6887734
DB04272,P53350,0.6747566
DB09093,P53350,0.6686088
DB06195,P53350,0.654865
DB08896,P53350,0.64855164
DB00675,P53350,0.64307153
DB07715,P53350,0.6221153
DB15442,P53350,0.62095344
DB08399,P53350,0.61933625
DB00618,P53350,0.61756563
DB01933,P53350,0.61492836
DB00398,P53350,0.59658605
DB01942,P53350,0.5815169
DB14924,P53350,0.5795163
DB04209,P53350,0.5728197
DB11730,P53350,0.5695325
DB12218,P53350,0.5466987
DB15822,P53350,0.54231864
DB11763,P53350,0.5366087
DB08895,P53350,0.5338285
DB14973,P53350,0.53230107
DB08901,P53350,0.52701515
DB01593,P53350,0.52385986
DB11952,P53350,0.5168057
DB09130,P53350,0.5127934
DB00605,P53350,0.50938857
DB17472,P53350,0.50573313
DB14487,P53350,0.5048326
DB12843,P53350,0.50224394
DB09054,P53350,0.49777895
DB00795,P53350,0.4899127
DB08162,P53350,0.48303762
DB03902,P53350,0.47692618
DB00619,P53350,0.47590032
DB08911,P53350,0.47420138
DB13751,P53350,0.47337872
DB11817,P53350,0.46689495
DB06246,P53350,0.4550476
DB09073,P53350,0.4548176
DB14840,P53350,0.4546523
DB08881,P53350,0.4495142
DB00173,P53350,0.44916287
DB13874,P53350,0.44344634
DB15035,P53350,0.43403703
DB04468,P53350,0.43368667
DB09283,P53350,0.43155304
DB16703,P53350,0.4314323
DB08437,P53350,0.42484468
DB08877,P53350,0.42316708
DB00759,P53350,0.42292508
DB14533,P53350,0.41540632
DB09462,P53350,0.40959945
DB15685,P53350,0.40500313
DB00201,P53350,0.40445852
DB04868,P53350,0.39995563
DB01133,P53350,0.3996808
DB06151,P53350,0.3982022
DB15149,P53350,0.39453733
DB14001,P53350,0.39246586
DB04707,P53350,0.39143616
DB12323,P53350,0.38600355
DB06595,P53350,0.38361138
DB09536,P53350,0.37857494
DB12141,P53350,0.3779675
DB06137,P53350,0.37533697
DB00993,P53350,0.3721835
DB12015,P53350,0.36963636
DB00514,P53350,0.3661306
DB00126,P53350,0.36225256
DB11760,P53350,0.3619986
DB00163,P53350,0.36047816
DB15568,P53350,0.35820407
DB14011,P53350,0.35710734
DB01048,P53350,0.3507778
DB00482,P53350,0.35046977
DB15091,P53350,0.3471208
DB07996,P53350,0.34642464
DB13014,P53350,0.34614402
DB00995,P53350,0.3448
DB15102,P53350,0.34425277
DB11942,P53350,0.3434105
DB12278,P53350,0.0051262933
DB00387,P53350,0.0051185926
DB09286,P53350,0.0050835814
DB00644,P53350,0.0050659254
DB00584,P53350,0.0050281594
DB01116,P53350,0.005023564
DB01194,P53350,0.005010933
DB05246,P53350,0.004938202
DB00422,P53350,0.004902759
DB11587,P53350,0.004852637
DB13985,P53350,0.004812904
DB04871,P53350,0.0047812182
DB06788,P53350,0.004766827
DB00989,P53350,0.0047175176
DB00241,P53350,0.004648225
DB01340,P53350,0.004638778
DB08918,P53350,0.0046285535
DB00935,P53350,0.004542563
DB06506,P53350,0.004453261
DB01252,P53350,0.0044340747
