0,1
77844825,P11712
127046727,P10635
11485656,Q9Y5S2
49803313,P27361
53357353,Q6V1X1
145949712,P27338
830058,P53779
138686789,Q9NR96
51042438,Q9P1W9
67356844,P06493
54761473,Q13315
5330286,Q13043
44566188,P07711
25161177,P36507
25031915,Q15375
25227462,P51617
90654167,P21397
25207521,P12931
10173309,P21397
124222804,P07339
25147250,P15144
11548630,O43683
137249609,P35968
3163969,P36639
25090,P23280
136110961,Q969S8
126591927,P33261
134150245,P08684
136662663,Q9UBE8
71521082,P07948
45482746,Q12809
155553510,P29275
44441743,Q9Y5Z0
11156015,P00742
11353015,P43235
5328940,O75716
17758020,P49137
11548630,P07332
155523387,Q12809
11235004,P33261
23648321,P43235
44182295,P13861
16045297,Q12809
9911830,P06241
16659841,Q9NYV4
16049886,Q12809
42636222,Q12809
3547,P25098
23648320,P43235
23582824,Q13470
46843057,Q9Y616
11977753,Q9H093
10391310,P00747
42642645,P11802
60150697,P34972
10046311,P48147
216239,P11388
118960556,P31645
42626351,P06493
44404502,P03956
90413524,P07339
42642648,Q9Y6M4
145975678,P34972
118432638,P27338
24964624,Q9BZE4
11806279,P22303
11375002,P05067
45481766,P29275
132272009,Q9NR96
89412190,P21397
9911830,P23443
12635074,P08253
25063262,P06493
76915,P22303
17753031,Q6V1X1
24794418,Q9ULC5
11828640,P00734
73670491,P07339
25161177,Q13976
58423153,Q13233
46890444,Q12809
54764945,Q9Y345
87056222,P47901
46839028,Q9Y345
10430360,P13861
5291,P61160
141724670,P15538
72793099,P08684
130453559,P21397
44182295,Q16512
44603533,P11802
155526497,P35499
45487920,P48147
17754438,P50750
90413138,P07339
11348345,P11712
11626560,O96013
124222814,P07339
44381884,P48147
127025656,Q9BY41
135120957,P06870
141724652,P15538
121364589,P06870
78105082,P07339
25107506,P34972
16749163,Q14790
25145656,Q9NTK5
45487917,Q9UHL4
135678111,Q05655
44158326,P29466
16659841,P36896
67950129,P07858
11256035,P06239
46191454,Q96RR4
690158,P21397
122182181,P09874
90205089,O75164
78090782,P07339
124222801,P07339
71811261,Q13547
118500144,Q13535
118709240,Q12809
71719905,Q9Y345
44137946,Q14680
90413750,P07339
18096680,P52895
127051045,Q6V1X1
137641063,P35968
44569301,P00749
10302451,P17612
91895739,Q6V1X1
118211139,Q04771
23647311,Q6V1X1
24765037,Q9H0K1
155564463,P00915
44425138,P14780
71458937,Q04828
145980094,Q13133
139557073,P36888
11700402,P29466
89825693,Q9H6Z9
25126798,P55055
117749324,Q9NY46
71081,Q16790
118753648,P23219
25262965,P30085
712934,P52895
72722126,Q92769
