0,1
117072549,P08684
11517980,Q12809
44462760,P53779
66562572,P07339
126557688,P07339
135321055,Q13547
16041424,Q06187
92045024,Q969S8
73670653,P07339
2354,P07858
11713159,P23458
71575419,Q12809
117884196,P07339
121455652,Q12809
10586607,P00915
137647591,Q12809
16659841,Q9H773
24900235,P10635
23647114,Q6V1X1
56926096,Q07869
16124208,P52564
16725726,Q9P2R7
117898180,Q9Y345
135285422,P07339
46890444,Q12809
45482728,Q12809
45269430,P80365
56925895,Q07869
11667893,Q13627
44382521,P48147
44406603,Q9Y345
118401302,Q96GD4
156414,P49589
136260531,Q14432
122179850,P00918
132272467,Q9NR96
127036810,P29275
11712649,Q14004
10864710,P00734
122510290,Q9NYK1
16658357,P00747
483672,P07858
6442177,Q16584
126557122,P07339
73441896,P48736
44566195,P07339
154584273,P42336
24894134,P11229
24748204,Q04912
72193935,P09874
90412660,P07339
24785538,P00533
91895770,Q9UHL4
59635676,P08684
176870,Q15746
24785538,P42684
23645932,Q9UHL4
16725726,P23458
25107503,P34972
71542873,P07339
131709604,P27338
90415325,P07339
23647728,Q6V1X1
127029809,P00533
131709603,P27338
46233269,P21397
11234052,P52564
44278484,P03956
10224745,P08684
56960607,Q00536
68078770,O15530
11620908,Q04759
136987005,P52333
24821094,P51817
136237316,Q9UGN5
44273653,P00533
9925288,P23219
134329338,Q9NR96
134329485,Q9NR96
89519163,P21397
91895781,Q6V1X1
71455293,P52895
24963252,P08240
14116752,P00918
11625818,Q02750
22912151,P23219
58437848,O15151
10807025,P23219
10180742,P23219
647501,P53779
72204934,P22894
118714376,P56524
122510254,Q9NYK1
72188648,P00734
22733860,Q14416
56834761,P41145
46239015,Q14004
46909057,P21554
118720891,Q12809
11625818,Q14289
5329170,P00533
90395386,P21397
126555283,P07339
132272715,Q9NR96
16216352,P27487
10894269,P00734
56649450,P54760
101882265,P56524
71719830,Q12809
4026325,P27338
25141092,Q9NSE4
11576569,Q9UHL4
16722836,P28482
138393071,Q969S8
25166740,Q07869
134491711,P03372
11348315,Q6V1X1
11973736,Q9NWZ3
145974425,Q969S8
132272499,Q9NR96
90412198,P07339
424430,P08173
44395250,P23219
118433042,P27338
118394951,Q07817
89810243,P07339
122179854,P00918
11548630,Q7KZI7
11623823,Q12809
