drugbank_id_1,drugbank_id_2,label
DB01236,DB00927,1
DB00557,DB00461,1
DB00649,DB00482,1
DB01197,DB01005,1
DB00440,DB00446,1
DB00203,DB00796,1
DB00396,DB00575,1
DB00321,DB01149,1
DB00938,DB00227,1
DB00279,DB01006,1
DB00503,DB00958,1
DB00741,DB00758,1
DB00363,DB00512,1
DB01337,DB00584,1
DB00945,DB00410,1
DB00590,DB01069,1
DB01149,DB00878,1
DB00727,DB00281,1
DB00945,DB01150,1
DB00417,DB00715,1
DB00363,DB00674,1
DB01137,DB01129,1
DB01337,DB00214,1
DB00218,DB00178,1
DB01156,DB00423,1
DB00330,DB01232,1
DB01195,DB01029,1
DB00802,DB00316,1
DB00377,DB00215,1
DB01595,DB01006,1
DB00285,DB01045,1
DB00787,DB00361,1
DB05271,DB00863,1
DB00690,DB00334,1
DB00580,DB00698,1
DB00203,DB00863,1
DB01197,DB00715,1
DB00881,DB01238,1
DB00454,DB00334,1
DB00346,DB01076,1
DB01136,DB00538,1
DB00343,DB00674,1
DB00563,DB00433,1
DB00881,DB01104,1
DB00443,DB00178,1
DB00356,DB01001,1
DB00445,DB00332,1
DB00204,DB01104,1
DB00399,DB01023,1
DB06151,DB00987,1
DB00659,DB00203,1
DB00334,DB00715,1
DB00284,DB01044,1
DB01337,DB00863,1
DB01167,DB00584,1
DB01043,DB00370,1
DB00945,DB00833,1
DB00394,DB00533,1
DB00207,DB00973,1
DB00741,DB01595,1
DB00275,DB00390,1
DB01233,DB00513,1
DB00177,DB01041,1
DB00244,DB00897,1
DB00598,DB00829,1
DB00947,DB00544,1
DB00426,DB01202,1
DB04441,DB00334,1
DB00181,DB00605,1
DB00497,DB00502,1
DB00313,DB00438,1
DB00829,DB00484,1
DB00443,DB00370,1
DB00184,DB00395,1
DB00641,DB00257,1
DB01416,DB00396,1
DB00559,DB00177,1
DB01036,DB00544,1
DB00758,DB00501,1
DB00983,DB00863,1
DB01009,DB00230,1
DB01009,DB00544,1
DB00654,DB00897,1
DB00361,DB01062,1
DB00210,DB01050,1
DB00458,DB01029,1
DB00358,DB01211,1
DB00295,DB01095,1
DB01062,DB00877,1
DB01416,DB00264,1
DB00338,DB00780,1
DB00417,DB00231,1
DB01327,DB01001,1
DB00377,DB00813,1
DB00330,DB00557,1
DB00658,DB01023,1
DB00268,DB00285,1
DB00153,DB01097,1
DB01197,DB00115,1
DB01195,DB00710,1
DB00543,DB00715,1
DB01042,DB00316,1
DB00883,DB00881,1
DB01129,DB00717,1
DB01156,DB01072,1
DB00811,DB00331,1
DB00916,DB01104,1
DB00203,DB00423,1
DB00285,DB01095,1
DB01068,DB00370,1
DB00332,DB00987,1
DB00335,DB00238,1
DB01076,DB01060,1
DB00321,DB00136,1
DB00697,DB01043,1
DB00836,DB00668,1
DB00458,DB00734,1
DB00250,DB00399,1
DB00681,DB00584,1
DB01062,DB00184,1
DB01611,DB00859,1
DB00285,DB01273,1
DB00734,DB00370,1
DB01167,DB00178,1
DB00758,DB00470,1
DB00952,DB00635,1
DB00624,DB01586,1
DB00327,DB01216,1
DB00999,DB00393,1
DB01236,DB01233,1
DB00571,DB00207,1
DB01042,DB00443,1
DB00335,DB00175,1
DB00850,DB01001,1
DB00571,DB00215,1
DB01149,DB00425,1
DB00673,DB00722,1
DB00381,DB00877,1
DB00351,DB00238,1
DB00540,DB01069,1
DB00842,DB00227,1
DB00884,DB00136,1
DB00635,DB00787,1
DB00343,DB00938,1
DB00708,DB00199,1
DB00193,DB00776,1
DB01128,DB00136,1
DB00842,DB01020,1
DB00199,DB01609,1
DB00316,DB01194,1
DB00264,DB01029,1
DB00341,DB00967,1
DB00802,DB00863,1
DB01195,DB00399,1
DB00379,DB00175,1
DB00571,DB00285,1
DB01586,DB01132,1
DB00542,DB00448,1
DB00359,DB00641,1
DB00512,DB01232,1
DB00512,DB00222,1
DB00537,DB01173,1
DB00248,DB00580,1
DB01202,DB01016,1
DB00497,DB00273,1
DB00541,DB01097,1
DB01291,DB00331,1
DB00381,DB00770,1
DB00921,DB00395,1
DB00448,DB01097,1
DB00818,DB01219,1
DB00512,DB00921,1
DB01077,DB00650,1
DB00630,DB00153,1
DB01236,DB00264,1
DB01167,DB00188,1
DB00927,DB00794,1
DB00227,DB00878,1
DB00674,DB00695,1
DB00196,DB00468,1
DB00745,DB00461,1
DB00938,DB00273,1
DB00577,DB01101,1
DB00586,DB01029,1
DB00250,DB00773,1
DB00590,DB01104,1
DB00413,DB01291,1
DB00757,DB00222,1
DB00231,DB00281,1
DB01005,DB00575,1
DB01233,DB00585,1
DB00945,DB00346,1
DB00601,DB00524,1
DB00295,DB00497,1
DB00426,DB01044,1
DB00798,DB01068,1
DB00727,DB00186,1
DB01115,DB00370,1
DB01036,DB01041,1
DB00213,DB00641,1
DB00458,DB00577,1
DB00927,DB01008,1
DB00829,DB00238,1
DB00415,DB00695,1
DB00996,DB00218,1
DB00465,DB00313,1
DB00916,DB01029,1
DB00115,DB00425,1
DB00654,DB00603,1
DB00270,DB00196,1
DB01233,DB00869,1
DB01197,DB00477,1
DB01202,DB00215,1
DB01079,DB00794,1
DB00277,DB00557,1
DB00268,DB00214,1
DB01224,DB01045,1
DB00996,DB00811,1
DB01143,DB00722,1
DB00635,DB00598,1
DB00207,DB01104,1
DB00243,DB00343,1
DB00402,DB00549,1
DB00455,DB00421,1
DB00713,DB00537,1
DB00519,DB00927,1
DB00341,DB00433,1
DB00991,DB00584,1
DB00641,DB00433,1
DB01229,DB00973,1
DB00203,DB01005,1
DB00490,DB00675,1
