CID,CanonicalSMILES
4709,CCC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br
4878,CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N
4913,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N
4916,CCC(C(C1=C2C=CC(=O)NC2=C(C=C1)O)O)NC(C)C
4996,C1=CC(=CN=C1)NC(=O)CCCCCCC(=O)NO
5039,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C
5073,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
5095,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
5143,C1=CC=C2C(=C1)C(=O)NS2(=O)=O
5163,CN1C=CC2=CC3=C(CCN3C(=O)NC4=CN=CC=C4)C=C21
5169,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O
5195,CC(CC1=CC=CC=C1)N(C)CC#C
5202,C1=CC2=C(C=C1O)C(=CN2)CCN
5212,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
5265,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F
5291,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
5333,C1=CC(=CC=C1N)S(=O)(=O)N
5355,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC
5374,C=CCN1CCC2=C(CC1)SC(=N2)N
5556,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl
5566,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
5685,COC1=C(C(=CC=C1)OC)OCCNCC2COC3=CC=CC=C3O2
5709,CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C
5743,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
5753,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O
5754,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O
5755,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O
5756,CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O
5757,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
5775,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O
5816,CNCC(C1=CC(=C(C=C1)O)O)O
5920,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O
5987,NS(=O)(=O)O
5994,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
6005,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
6013,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
6038,C1=CC=C2C(=C1)C=CC(=O)N2
6083,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
6088,CNCCC1=CNC2=CC=CC=C21
6112,C1CSSC1CCCCC(=O)O
6125,C(=O)(C(=O)[O-])[O-].[Na+].[Na+]
6224,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+]
6724,C1=CC2=C3C(=C1)C(=O)C(=O)C3=CC=C2
6763,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O
7090,C1CN(NC1=O)C2=CC=CC=C2
7365,C1=CC=C(C=C1)[As](=O)(O)O
8515,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O
8651,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2
9445,C1=C(C=C(C(=C1C(=O)O)O)Cl)Cl
9681,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
9905,C1=CC=C(C=C1)C(=O)C(F)(F)F
10662,C1=CC(=C(C=C1Br)C(=O)C(=O)C2=C(C=CC(=C2)Br)O)O
10752,C1=CC=C2C(=C1)C=C(C(=O)O2)C(=O)O
10757,C1=CC=C(C=C1)C(=O)CCl
11095,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O
11349,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O
11820,CN1C(=O)C=CC2=CC=CC=C21
12560,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
12884,C1=CC=C(C=C1)N2C3=CC=CC=C3C(=O)C2=O
13818,CP(=O)(O)O
14982,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C
15107,C1=CC=C2C(=C1)C=CC=C2NCCN
15295,C1=CC=C(C=C1)P(=O)(O)O
16362,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
19080,COC1=CC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)N
21704,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
24066,C1CC(OC1CO)N2C=CC(=NC2=O)N
24243,[O-]P(=O)([O-])[O-].[Na+].[Na+].[Na+]
25090,CC1=CC2=C(C=C1)OC(=O)C(=C2)C(=O)O
26257,CCCCCC(=O)C(=O)CCCCC
28417,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5
28693,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5
31036,C1=CC(=CC=C1NC2=NC(=NC=C2)N)S(=O)(=O)N
31348,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
31494,COC1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2
35370,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-]
39981,C(C(C(=O)O)NC(=O)CP(=O)(O)O)C(=O)O
43815,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4
44093,CC(CS)C(=O)N1CCCC1C(=O)O
47811,CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC
47953,CC1=CC=C(C=C1)C23CC2CNC3
51703,CCN1CCC(=CC1)C2=CNC3=CC=CC=C32
54562,CCCN1CCCC2C1CC3=C(C2)NN=C3
54766,CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O
60825,C1C(OC(S1)CO)N2C=CC(=NC2=O)N
63062,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
64945,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
64971,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O
65340,C1=CC(=C(C=C1CCN)O)O.Cl
65752,C1CN2C(=NC3=CC=CC=C3C2=O)C4=C1C5=CC=CC=C5N4
66541,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C
68071,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
68551,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42.Cl
68617,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
68740,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O
69033,C1=CC=C(C=C1)S(=O)(=O)NO
69588,C1=CC=C(C=C1)C2=C(N=CN2)C3=CC=CC=C3
70914,CC(=O)NC(CCC(=O)O)C(=O)O
71043,COC1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)OC
71081,C(=O)(C(=O)[O-])[O-]
71246,CS(=O)(=O)NC1=C(C=C2C(=C1)CCC2=O)OC3=C(C=C(C=C3)F)F
72281,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O
72429,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C=O)NC(=O)C
73453,CC(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=CNC7=CC=CC(=C67)C5=C4)C)O
75511,CC1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2
75522,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)N
76509,CN(C)CCN(C)CCN(C)CCN(C)C
76915,CC(C)(C)C1=CC(=O)C(=O)C(=C1)C(C)(C)C
76996,CC1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)C
79690,CCCCC(=O)C(=O)CCCC
87502,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)CBr
89801,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)Cl
92036,COC1=C(C=C(C=C1)C(=O)C(=O)C2=CC=CC=C2Cl)OC
92087,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C
93147,CCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O
93577,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O
94391,CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)C(=O)O)C
95801,CC1=CC=C(C=C1)S(=O)(=O)NCC2=CC=CC=C2
95840,C=CCN1C(=O)C2=CC=CC=C2S1(=O)=O
97297,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)I
98523,CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C)C(=C1C(=O)O)O
100187,C1=CC2=C(C=C1[N+](=O)[O-])S(=O)(=O)NC2=O
107704,COC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2
107985,CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2O)O7)COC6=O)C
110634,CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C
110635,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
115237,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
119570,CCCNC1CCC2=C(C1)SC(=N2)N
119607,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
121255,C1=CC(=CC=C1S(=O)(=O)NO)Br
123742,C1=CC=C(C=C1)CC(CS)C(=O)NCCC(=O)O
123879,C1CC2=C(CC1NS(=O)(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4N2CCC(=O)O
123985,CC(C)CC(C(=O)NCCCCN=C(N)N)NC(=O)C1C(O1)C(=O)O
124052,CC1(C=CC2=C(O1)C=CC3=C2OCC(C3)C4=C(C=C(C=C4)O)O)C
125246,CCCN(CCC)C1CCC2=CC(=C(C=C2C1)O)O
126565,CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O
130395,C1=CC(=CC=C1CC(=O)O)OC(=O)C2=CC=C(C=C2)N=C(N)N
131255,C1COCCN1C2=CC(=O)C3=CC=CC=C3O2
131432,C1=CC=C(C=C1)CCOC2=NC(=C3C(=N2)N(C=N3)C4C(C(C(O4)CO)O)O)N
132306,CN1C2=C(C=CC1=O)C=C(C=C2)COC3=CC(=CC(=C3)C4(CCOCC4)OC)F
137905,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)C(=O)C(=O)C3=CC=CC=C3
148886,C(CCOS(=O)(=O)N)COS(=O)(=O)N
151194,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4
152215,CN1CCC(=CC1)C2=CNC3=CC=CC=C32
153999,CN(C)CC1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O
154575,COC1=C(C=C(C=C1)C(=O)NC2=C(C=NC=C2Cl)Cl)OC3CCCC3
154691,C1=CC=C(C=C1)CCCCCCCCCCN=C=S
156414,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
156422,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5
163938,C1CN2CC1C(C2)C3=NC(=NO3)N
164676,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
164682,C1=CC2=C(C=C1F)C(=CN2)CCN
169118,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
176155,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F
176407,C1=COC(=C1)C2=NN3C(=NC(=NC3=N2)NCCC4=CC=C(C=C4)O)N
176443,CCCCCCCC(=O)C(F)(F)F
176870,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
177992,CCCC(C1=CC2=C(C=C1)OCO2)NC(=O)N3C(C(C3=O)(CC)CC)OC4=CC=C(C=C4)C(=O)N5CCN(CC5)C
179340,CN(C(CN1CCC(C1)O)C2=CC=CC=C2)C(=O)C(C3=CC=CC=C3)C4=CC=CC=C4
181620,C1=CC=C2C(=C1)C(=O)C(=CO2)C(=O)O
185559,CN1CCC2=CC3=C(C=C2C(=O)CC4=CC5=C(C=C4C1)OCO5)OCO3
187811,CCCCC1=CC2=C(C=C1)NC=C2CCN
191826,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(CO3)O)O)O
197033,CC1=CC2=C(C=C1)N(C3=C2CN(CC3)C)CCC4=CN=C(C=C4)C
199605,CC(CC1=CC=CC=C1)N(C)CC#C
202375,CC1=CC=C(C=C1)S(=O)(=O)NCCCN(C)C
207753,CC(=O)N1C(CC(=N1)C2=CC=CC=C2)C3=CC=CC=C3
213056,C1CC(C2C1C2C(=O)O)(C(=O)O)N
216230,C1CC(CN(C1)C(=O)CCC2CCNCC2)C(=O)NC(CC(=O)O)C3=CN=CC=C3
216239,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
220023,CC1=CC=C(C=C1)S(=O)(=O)N(C)C2=CC=CC=C2
222958,C1=CC=C(C=C1)CC(=O)C(F)(F)F
234475,C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)N
234562,COC1=CC=CC2=C1OC(=O)C(=C2)C(=O)O
235481,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)Cl)N
236275,C1=CC=C2C(=C1)N=C(C(=N2)C3=CC=CO3)C4=CC=CO4
237515,CCCCCCC(=O)C(=O)CCCCCC
240910,C1=CC(=CC=C1N)S(=O)(=O)NO
246499,C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)O
264734,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=O)C2=O
268734,C1=CC=C(C=C1)C2=CC(=C(C(=C2)Br)O)C(=O)O
272516,CN(C1=CC=CC=C1)C2=CC(=O)C(=O)C3=CC=CC=C32
275182,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC
277990,C1=CC=C2C(=C1)C(=O)C(=O)N2CC3=CC=C(C=C3)Cl
283893,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)[N+](=O)[O-]
283995,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NO
296732,C1=CC=C(C=C1)C2=CN=C(N2)C3=CC=CC=C3
306203,C1=CC(=CC(=C1)NS(=O)(=O)C2=CC(=C(C=C2Cl)Cl)Cl)C(F)(F)F
316765,C1=CC=C2C(=C1)C=C3C=CC=C4C3=C2C(=O)C4=O
349435,C1C2=CC=CC=C2C(=O)NC1=O
352863,C1=CC(=CC=C1S(=O)(=O)NO)Cl
354471,C1=CC=C(C=C1)C2=CN(C3=NC=NC(=C23)N)C4=CC=CC=C4
391527,CC1=CC=C(C=C1)S(=O)(=O)N2CC(CC2C(=O)OC)OS(=O)(=O)C3=CC=C(C=C3)C
392622,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
404585,COC1=CC(=CC(=C1OC)OC)NC2=NC3=CC(=CC(=C3N=C2C4=CC=CC=C4)N)N
424430,COC1=CC=CC(=C1)CC2C3=C(CCN2)C4=CC=CC=C4N3
439246,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
439260,C1=CC(=C(C=C1C(CN)O)O)O
439654,COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)OC)O)C=C1)O
440735,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O
441300,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO
443389,CSC1=C(C=C2C(=C1)CCN2C(=O)NC3=CN=CC=C3)C(F)(F)F
443390,COC1=C(C=C2C(=C1)CCN2C(=O)NC3=CC(=CC(=C3)C4=CN=CC=C4)F)C(F)(F)F
443391,CC1=CC2=C(C=C1C(F)(F)F)N(CC2)C(=O)NC3=CN=C(C=C3)OC4=C(N=CC=C4)C
444031,C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5
445154,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
445756,CC1=NC2=CC=CC=C2N1CC3=CC4=C(C=C3)N(C(=N4)CNC5=CC=C(C=C5)C(=N)N)C
445843,C1=CC=C(C=C1)C2=C(C(=CC=C2)C3=CC4=CC(=C(C=C4N3)Cl)C(=[NH2+])N)O
445844,C1=CC=C(C=C1)C2=C(C(=CC=C2)C3=CC4=CC(=C(C=C4N3)Cl)C(=N)N)O
447219,CC1=CN=C(C(=O)N1CC(=O)NCC2=C(C=CC=N2)F)NCC(C3=CC=CC=N3)(F)F
447221,CC1=C(C(=NC=C1)CNC(=O)CN2C(=CN=C(C2=O)NCC(C3=CC=CC=N3)(F)F)C)F
448763,CNC(CC1=CC=CC=C1)C(=O)N2CCCC2C(=O)NCC3CCC(CC3)N
448942,C1=CC=C(C=C1)C(CC(=O)O)NC(=O)C2=CC(=CS2)C3=CC=C(C=C3)C4=CC=NC=C4
448991,CC(C)C(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=C(C=C3)C(=O)O)Cl
449193,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F
449241,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNCC=CC3=CC=C(C=C3)Br
449459,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
451705,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC
456214,CC(C)C(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC=C3)Cl
480764,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)CC(O2)C3=CC=C(C=C3)O)C
483672,CCCC(C(=O)C(F)(F)F)NC(=O)C1CCCN1C(=O)C(C(C)C)NC(=O)C(C(C)CC)NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C
489877,C1=C(C(C(C1N2C=NC3=C(N=CN=C32)N)O)O)CCO
517020,C(=O)(C(=O)[O-])[O-].[Na+].[Na+]
517071,[O-]P(=O)([O-])[O-].[Na+].[Na+].[Na+]
517540,C1=CC(=C(C=C1CC[NH3+])O)O.[Cl-]
555078,C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)C3=C(C(=NC(=C3F)F)F)F
580653,CC(=O)C1=CC=C(C=C1)OCC2=CC=C(C=C2)Cl
604408,C1=CC=C(C=C1)C(=O)C2=C(NC=N2)C(=O)NC3=CC=CC=N3
607195,CCOC(=O)CN1C(=O)C2=CC=CC=C2S1(=O)=O
609637,CC(C)CC(C1=C(C=C2C(=C1)C=CC(=O)O2)OC)O
610479,CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O
622510,C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC=C(C=C3)[N+](=O)[O-]
625902,COC1=CC=C(C=C1)C=NC2=CC=C(C=C2)S(=O)(=O)N
626798,CC1=C(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)C(=O)O
